ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
10,TR011,Bilecik,TUR,Turkey,98283.35,92475.12000000001,85406.35,131911.23,85474.28,132562.59,90169.75999999998,90523.16,95967.2,100170.98,101565.79000000001,111682.68,86632.43000000001,105530.68000000001,94681.27,102435.53,88394.63,94032.72,85819.71,85876.19,62170.91
11,TR012,Bingol,TUR,Turkey,82518.66999999998,78189.07999999999,88078.51000000001,92606.17000000001,80061.11000000002,92268.49,81667.54999999999,89452.75000000001,82417.75,77982.73999999999,83445.06000000001,96528.13999999998,31304.690000000002,80973.39,81715.10999999999,83590.29000000001,61182.35,79902.73,79949.95,72664.88,65531.240000000005
12,TR013,Bitlis,TUR,Turkey,152640.78999999998,148139.17,151848.21999999997,149237.13999999998,154608.28,174431.03999999998,137295.18000000002,153577.33000000002,171879.02999999997,144343.95,153001.87,166414.96000000002,147866.78,140548.95,139719.16,144684.96000000002,141029.62,136506.22,148590.12,123452.25000000001,91107.90000000001
13,TR014,Bolu,TUR,Turkey,125384.03,113382.93,109321.23000000001,167743.05,120262.88,152798.65,118933.05000000002,88442.34,111100.51999999999,119891.07,109345.42999999998,143487.49,91967.73,134855.88,117408.80999999998,131510.48,84507.63,117413.85,76471.47,105539.97,83381.79000000001
14,TR015,Burdur,TUR,Turkey,195857.58,190560.97999999998,191851.86,201389.08000000002,190072.86,206730.66000000003,207581.88999999998,185154.71,196087.68000000002,202953.19,203914.8,231112.24,202702.52,212231.54,207130.3,207630.75,216119.62999999998,214520.47,198065.72,201111.13999999998,150345.0
15,TR016,Bursa,TUR,Turkey,332355.17000000004,297980.28,195763.57,330885.8,260499.15,341754.25,252613.33000000002,258993.33000000002,274971.27,286602.18,314766.21,311333.77999999997,295388.74,289124.58,246484.77999999997,269387.9,286577.80999999994,281659.08,248940.26,295025.88,180877.91999999998
16,TR017,Canakkale,TUR,Turkey,310790.02,287321.43,275040.74,369215.95,283832.5,341502.13,305543.52,286465.38999999996,285579.02999999997,322450.35000000003,339421.38,362988.94,336903.89,327910.3600000001,297438.95,330863.51,290119.37,286129.58999999997,290365.73999999993,330180.11000000004,276418.0
17,TR018,Cankiri,TUR,Turkey,294325.46,202275.80000000002,225345.75000000003,284848.51999999996,243637.47999999998,303766.85,232863.37000000002,285135.46,244257.53,258926.83,228992.57,258966.23,269542.97000000003,262164.2,267424.51,256303.69,98217.85999999999,264187.24,237480.03000000003,237136.00999999998,222513.40000000002
18,TR019,Corum,TUR,Turkey,775246.0800000001,563146.3200000001,508786.13999999996,582844.21,573648.4400000001,799187.56,523131.4199999999,563245.9600000001,544542.75,551295.5499999999,524205.55999999994,604892.99,554976.51,566285.9999999999,589964.66,445419.19999999995,630361.8499999999,596275.48,537986.9199999999,537557.7600000001,493204.96
19,TR020,Denizli,TUR,Turkey,397817.32999999996,413501.33999999997,411590.83999999997,440605.94,413683.92000000004,429174.76,428829.93999999994,409695.74,394376.46,404404.26,417609.4200000001,423072.95999999996,374103.68999999994,436557.06000000006,394267.49,420194.35000000003,409057.43,448929.49000000005,403707.89999999997,389586.13999999996,250599.29
20,TR021,Diyarbakir,TUR,Turkey,1056847.57,1091946.0500000003,1087084.45,1063816.72,1076808.22,1161240.6600000001,1042211.18,1214936.7799999998,1150195.1300000001,1076135.52,1072649.1800000002,336871.52,1003942.8099999999,1051914.5599999998,980878.68,1169360.73,1066523.2400000002,1038868.0700000001,1099211.6700000002,1071158.97,839371.21
21,TR022,Edirne,TUR,Turkey,609255.31,503667.51,528462.52,562352.2999999999,531950.6799999999,578797.0000000001,521587.60000000003,502212.54000000004,537120.0099999999,544657.56,576080.3200000001,576438.5599999999,542728.96,552738.88,539377.38,545696.37,557946.5399999999,552556.84,575349.43,544784.24,522367.0
22,TR023,Elazig,TUR,Turkey,242947.31,237958.43,245953.04999999996,233436.78,217451.03000000003,257319.53000000003,226100.29,240774.25999999995,228057.10000000003,221073.53000000003,224266.64,295752.67000000004,217837.25,237898.56,230896.34000000003,257977.59999999998,244942.75999999998,232495.62,211733.61,207011.39,184834.53
23,TR024,Erzincan,TUR,Turkey,123917.59,126666.08,131893.4,124609.81000000001,120342.83,137912.7,127362.19,131875.89,136018.49,125663.03,141415.89,111359.54000000001,151707.15,105498.53,103709.45,129231.22000000002,126657.62000000001,127142.83,133318.55,122126.33,88726.31999999999
24,TR025,Erzurum,TUR,Turkey,372585.64,369633.04,375457.79000000004,410895.68999999994,406720.13,405401.98,366760.16,413946.81000000006,376932.28,421713.66000000003,398948.35,474763.64,495534.74000000005,424046.14,391203.8,402118.80000000005,381917.99000000005,377636.02,398523.47000000003,352421.55999999994,271270.63
25,TR026,Eskisehir,TUR,Turkey,902931.23,728849.5700000001,709164.4700000001,719357.6399999999,708088.89,957887.2899999998,687093.67,688277.62,739090.11,722545.03,762325.57,928301.0800000001,677788.7799999999,802372.2,724699.79,827335.6699999998,727095.99,763251.8500000001,681342.88,681441.6599999999,609067.52
26,TR027,Gaziantep,TUR,Turkey,486127.69999999995,501147.81,389058.81000000006,551703.75,514753.86,522282.67,491494.87999999995,528683.61,551492.13,473370.8499999999,508580.75,205304.04000000004,575494.19,354218.47000000003,568235.09,493117.77,580148.26,426337.0,564738.89,486315.95000000007,405859.82
