ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual,LTA,2003_annual_anomaly,2004_annual_anomaly,2005_annual_anomaly,2006_annual_anomaly,2007_annual_anomaly,2008_annual_anomaly,2009_annual_anomaly,2010_annual_anomaly,2011_annual_anomaly,2012_annual_anomaly,2013_annual_anomaly,2014_annual_anomaly,2015_annual_anomaly,2016_annual_anomaly,2017_annual_anomaly,2018_annual_anomaly,2019_annual_anomaly,2020_annual_anomaly,2021_annual_anomaly,2022_annual_anomaly,2023_annual_anomaly
60,TR061,Trabzon,TUR,Turkey,524.45,1080.5700000000002,1011.6799999999998,183.89,661.96,1089.63,346.81999999999994,967.88,1144.25,506.42,943.0599999999998,46.010000000000005,51.03000000000001,750.0200000000001,360.07,874.43,931.0600000000002,179.46999999999997,695.37,605.86,1162.4899999999998,647.6965000000001,-19.028433842085,66.83276812519443,56.19661369175218,-71.60861607249693,2.202188833813353,68.23157142272652,-46.45331571191139,49.43418715401424,76.66453346590568,-21.812145040153847,45.602145449296025,-92.89636426937616,-92.12130990363544,15.798062827265541,-44.40760448759567,35.00613327384041,43.74942584991581,-72.29103445826865,7.360468985087902,-6.459275293289389,79.48066725696364
61,TR062,Tunceli,TUR,Turkey,105652.99,112280.91,108208.9,108056.81,105055.76,100599.88,86363.34999999999,118951.46,91750.56,103087.66,84326.32999999999,139660.68999999997,118478.64,29676.54,92635.92,110946.59,57926.42999999999,76191.94,90750.19,86338.09000000001,103886.34,96346.98199999999,9.65884743540801,16.538066547844764,12.311665351385896,12.153808824027317,9.038973322485603,4.414147606616278,-10.362163705345747,23.461531986544237,-4.770696398149754,6.996252357961784,-12.476417787533816,44.95595720891391,22.970784907408945,-69.19826715485493,-3.851767769954632,15.153155497906523,-39.87727607285094,-20.91922505678485,-5.808995656968256,-10.388381444060157,7.825214494004605
62,TR063,Sanliurfa,TUR,Turkey,1424330.52,1282054.64,1436214.9999999998,1648153.8199999998,1036173.05,1914290.34,1884701.92,1038102.53,1551835.4899999998,1866501.9299999997,1429658.0199999996,851788.0299999999,1423964.35,887091.5399999999,1763936.55,1489473.7499999998,1411252.4,1529667.54,1334320.3299999998,1941034.39,1861534.62,1457227.3069999998,-2.257491802546889,-12.020956933659761,-1.441937500008709,13.102040572727208,-28.894205795993898,31.365253094313605,29.334792928087793,-28.76179817566374,6.492342172393835,28.085846390195318,-1.891900245594303,-41.54734639487509,-2.282619659967689,-39.12469689946594,21.047453717527702,2.2128629380673535,-3.1549578284151587,4.9711004351910795,-8.434303722528306,33.200522710215736,27.744972322289897
63,TR064,Usak,TUR,Turkey,134767.80000000002,227857.54,275398.03,289549.79,223872.68,327560.78,171351.67000000004,139603.17,150140.34999999998,273713.17000000004,205635.97,173991.12000000002,119367.58,301417.1499999999,238481.72,155629.31,64880.29,271096.8,138350.03,137538.27000000005,198231.08,201010.16100000002,-32.95473257195192,13.356229787806589,37.00701926207601,44.04733997501746,11.37381259049883,62.95732433147994,-14.754722274960008,-30.549197460719412,-25.307084351820425,36.168822828812125,2.301281177522154,-13.44162945076194,-40.61614626536218,49.951200725618975,18.641624290823774,-22.576396523556845,-67.72288043687503,34.867212011237555,-31.172618681699387,-31.576458963186425,-1.3825574718086189
64,TR065,Van,TUR,Turkey,445550.56,439823.72,421423.7899999999,443374.5900000001,420308.25,473524.79999999993,469119.39,460044.5199999999,464455.29,453350.03,434464.81,505130.41,507946.56000000006,322131.45,423190.7400000001,441810.8,401599.16,397577.13000000006,445860.41,446853.78,502411.01,440877.00950000004,1.0600576576447571,-0.2389077854603057,-4.4123914563070725,0.5665027765527065,-4.6654189392472825,7.405192331762967,6.405954470619762,4.347586761609046,5.348040381316353,2.829138338183176,-1.4544191150434769,14.573996628417959,15.212757538902697,-26.933942333411697,-4.01161074832593,0.21180294727977744,-8.909026475330432,-9.821305844254956,1.1303380291142013,1.355654835977557,13.957180613655918
65,TR066,Yozgat,TUR,Turkey,1345189.84,1229350.16,1113382.1300000004,1332706.4,1179450.97,1171188.78,759798.3700000002,1310689.6,855747.5700000001,805031.3299999998,828599.7299999999,1145342.34,807704.5700000001,831452.6099999999,894466.2800000001,1104928.54,549209.0099999999,815714.1099999999,1073587.02,863707.0099999999,977921.31,1000862.3185,34.403085732715596,22.82909819628701,11.242286718180639,33.155817275380805,17.843478388481255,17.01797123856851,-24.085625369659656,30.956034189032167,-14.498972118111567,-19.566226530887246,-17.211417126600534,14.435554104637822,-19.299132850708876,-16.92637492376532,-10.630437027488101,10.397656058823838,-45.126417505346424,-18.498868933089938,7.266204367549078,-13.703713883999136,-2.292124308804218
66,TR067,Zonguldak,TUR,Turkey,347.6,157.53,1919.7,658.3900000000001,651.9800000000001,692.47,751.9499999999999,391.22,2305.11,2312.94,502.51,178.62,1311.48,470.57,277.24,233.27,257.82,148.16,274.7300000000001,1628.95,2053.84,773.6120000000001,-55.06791518228776,-79.63707905254832,148.1476502432744,-14.894029565208394,-15.72261030077092,-10.48872044384007,-2.800111683893237,-49.42942973997301,197.96719802691786,198.97933330920407,-35.0436652999178,-76.91090624240576,69.52684291350184,-39.172349963547624,-64.16291370868083,-69.84664146885002,-66.67321603077512,-80.84828053339402,-64.48736575957973,110.5642104827743,165.4870917203973
67,TR068,Aksaray,TUR,Turkey,556648.34,603378.09,565254.07,691700.9800000001,521008.95,511168.29,495385.87,469313.06,465618.20000000007,459101.18,427260.17,374269.63,466830.1,363648.18,484336.3000000001,448167.35,214567.56,504932.8399999999,430569.84,355206.8,517683.48,470418.2899999999,18.33050538915059,28.264164643768435,20.159883664387294,47.03955919741135,10.75439902644944,8.662503322309187,5.3075274773011225,-0.23494622201018656,-1.0203876214081413,-2.4057546742070617,-9.17441369042006,-20.438971452406737,-0.7627658354865294,-22.6968449717378,2.958645591777519,-4.730032924527647,-54.38792143902398,7.336991510257816,-8.47085473653669,-24.491286255047598,10.04748135962147
68,TR069,Bayburt,TUR,Turkey,48742.67,64967.62000000001,85057.67,101704.11000000002,51655.31,102418.03,42991.4,90381.27999999998,95690.04,115857.94,81462.5,107871.15,84026.53,49957.030000000006,49351.490000000005,85421.90000000001,80968.51,78554.45000000001,74226.95,65188.02000000001,74736.06,77824.73,-37.3686616066641,-16.520596987615615,9.293883833583493,30.683537225249637,-33.62609802822316,31.60088059412478,-44.7586904573906,16.13439584049953,22.95582650913148,48.87033980072916,4.674311109078058,38.60780499977321,7.968932240433089,-35.80828356230724,-36.586365285173486,9.761897021679372,4.039564287598555,0.9376453988340413,-4.6229264142644615,-16.2373965190756,-3.9687513210775007
69,TR070,Karaman,TUR,Turkey,309613.99,329594.09,305690.57000000007,355393.81,333197.34,292676.60000000003,296449.6,278257.47,265369.86,316355.63,243409.79,266743.49,307946.43,290410.73000000004,282380.15,304946.67,191049.43,203156.0,306789.55000000005,305493.25000000006,294409.42999999993,289246.22250000003,7.0416710455051685,13.949315275845992,5.685241922217335,22.868954667160764,15.195053238767878,1.1859714088400937,2.490396395755849,-3.7990997445092165,-8.254684294105187,9.372432685788997,-15.846856046667998,-7.779784401505897,6.465151848266561,0.40260076343780316,-2.373781216797052,5.42805619527147,-33.9492048163222,-29.763646265077853,6.065188111488651,5.61702322663869,1.7850561557463043
