ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual,LTA,2003_annual_anomaly,2004_annual_anomaly,2005_annual_anomaly,2006_annual_anomaly,2007_annual_anomaly,2008_annual_anomaly,2009_annual_anomaly,2010_annual_anomaly,2011_annual_anomaly,2012_annual_anomaly,2013_annual_anomaly,2014_annual_anomaly,2015_annual_anomaly,2016_annual_anomaly,2017_annual_anomaly,2018_annual_anomaly,2019_annual_anomaly,2020_annual_anomaly,2021_annual_anomaly,2022_annual_anomaly,2023_annual_anomaly
10,TR011,Bilecik,TUR,Turkey,98283.35,92475.12,85406.35,131911.23,85474.28,132562.59,90169.75999999998,90523.16,95967.2,100170.98,101565.79,111682.68,86632.43000000001,105530.68,94681.27,102435.53,88394.63,94032.72,85819.71,85876.19,62170.91,97979.78249999999,0.30982667266078007,-5.6181615834878915,-12.83268055835905,34.63107044557894,-12.76334992884883,35.29586065370171,-7.971055151097123,-7.610368496174182,-2.0540793709151064,2.2363771832214567,3.6599463772028757,13.985433678626515,-11.581320360657037,7.706587325808778,-3.366523598886314,4.547619300951207,-9.782786055888606,-4.028445868411666,-12.410797605107954,-12.35315305991824,-36.547205542122924
11,TR012,Bingol,TUR,Turkey,82518.66999999998,78189.07999999999,88078.51000000001,92606.17,80061.11000000002,92268.49,81667.54999999999,89452.75000000001,82417.75,77982.73999999999,83445.06000000001,96528.13999999998,31304.69,80973.39,81715.10999999999,83590.29000000001,61182.35,79902.73,79949.95,72664.88,65531.240000000005,79824.97050000001,3.374507354186837,-2.0493468268804724,10.339545944461074,16.011530502225472,0.29582159382070145,15.588504977900358,2.308274576813001,12.061112506142427,3.2480807493690076,-2.307837370262504,4.535033934024443,20.924742465141247,-60.78333658764083,1.438672000511405,2.3678549308076167,4.7169694851312185,-23.354371925511717,0.09741250076626781,0.15656692287783147,-8.969737733883667,-17.90633984637677
12,TR013,Bitlis,TUR,Turkey,152640.78999999998,148139.17,151848.21999999997,149237.13999999998,154608.28,174431.03999999998,137295.18000000002,153577.33000000002,171879.02999999997,144343.95,153001.87,166414.96000000002,147866.78,140548.95,139719.16,144684.96000000002,141029.62,136506.22,148590.12,123452.25,91107.9,148990.75100000002,2.449842675133546,-0.5715663517932099,1.9178834798946367,0.1653720102397272,3.7703877336654137,17.075079378585023,-7.849863781141686,3.078432029649946,15.362214665257945,-3.118851988335844,2.692193289233086,11.694825942584853,-0.7543897808797672,-5.6659899647059335,-6.222930576408743,-2.8899720090678627,-5.343372623177141,-8.379400007185692,-0.2688965572097982,-17.140997564338754,-38.84996257250896
13,TR014,Bolu,TUR,Turkey,125384.03,113382.93,109321.23,167743.05,120262.88,152798.65,118933.05000000002,88442.34,111100.52,119891.07,109345.42999999998,143487.49,91967.73,134855.88,117408.80999999998,131510.48,84507.63,117413.85,76471.47,105539.97,83381.79000000001,116988.42450000001,7.176441204232124,-3.08192414370023,-6.553806098995728,43.38431406091804,2.7989568318359535,30.610058775515846,1.6622375318850535,-24.400776933276855,-5.032894942524851,2.4811390634634956,-6.533120291743078,22.65101493011386,-21.38732494854652,15.272840519362664,0.3593393977196221,12.413241363037589,-27.764109687621275,0.3636475162549074,-34.63330211785184,-9.785972030078929,-28.726461308998992
14,TR015,Burdur,TUR,Turkey,195857.58,190560.98,191851.86,201389.08,190072.86,206730.66000000003,207581.89,185154.71,196087.68,202953.19,203914.8,231112.24,202702.52,212231.54,207130.3,207630.75,216119.63,214520.47,198065.72,201111.14,150345.0,203138.98000000004,-3.5844425328905616,-6.191820004215846,-5.556353586101521,-0.8614299431847359,-6.432108697208212,1.7680900041931846,2.1871282409707744,-8.853185144475987,-3.471170328806438,-0.09145955148541024,0.3819158686333606,13.770503327327893,-0.21485782787727398,4.476029169783153,1.964822310321706,2.211180739412967,6.390034054517731,5.602809465716506,-2.497433038208638,-0.9982525264230553,-25.989093772155414
15,TR016,Bursa,TUR,Turkey,332355.17000000004,297980.28,195763.57,330885.8,260499.15,341754.25,252613.33,258993.33,274971.27,286602.18,314766.21,311333.78,295388.74,289124.58,246484.78,269387.9,286577.80999999994,281659.08,248940.26,295025.88,180877.92,283555.36750000005,17.20997311045434,5.087159036056679,-30.961077645620666,16.691778017568275,-8.131116579903942,20.52469787933037,-10.912167797352684,-8.662166305139705,-3.027309119796518,1.0745035535255532,11.006965861790631,9.796468585628157,4.173214072556725,1.964065272014279,-13.073491722917236,-4.996367243868175,1.0659091120889777,-0.6687538722045298,-12.20753033356,4.045246119349144,-36.21072258489341
16,TR017,Canakkale,TUR,Turkey,310790.02,287321.43,275040.74,369215.95,283832.5,341502.13,305543.52,286465.39,285579.03,322450.35000000003,339421.38,362988.94,336903.89,327910.3600000001,297438.95,330863.51,290119.37,286129.59,290365.73999999993,330180.11000000004,276418.0,313003.145,-0.7070615855952501,-8.204938324182022,-12.128442032108024,17.959182167322947,-9.319601245540206,9.105015542255968,-2.383242826521759,-8.478430783818483,-8.761610047081152,3.0182460307227954,8.440245863983247,15.969742093166502,7.6359440413929365,4.7626406437545805,-4.9725362983173875,5.706129566206113,-7.311036762905376,-8.585714050892362,-7.232325093730315,5.487793101887211,-11.688427284013397
17,TR018,Cankiri,TUR,Turkey,294325.46,202275.8,225345.75000000003,284848.52,243637.48,303766.85,232863.37,285135.46,244257.53,258926.83,228992.57,258966.23,269542.97000000003,262164.2,267424.51,256303.69,98217.86,264187.24,237480.03000000003,237136.01,222513.4,247789.918,18.78024028402964,-18.368026579677068,-9.057740597823667,14.955653684021161,-1.6757897308800087,22.59048005334905,-6.023872206132297,15.071453391416842,-1.4255575967380587,4.494497633273353,-7.586001945406026,4.51039819949414,8.778828523604428,5.800995502972807,7.923886556191525,3.435883133873105,-60.36244703063344,6.617429043259131,-4.160737484081163,-4.299572834113451,-10.20078548958558
18,TR019,Corum,TUR,Turkey,775246.0800000001,563146.3200000001,508786.14,582844.21,573648.4400000001,799187.56,523131.4199999999,563245.9600000001,544542.75,551295.5499999999,524205.56,604892.99,554976.51,566285.9999999999,589964.66,445419.2,630361.8499999999,596275.48,537986.9199999999,537557.7600000001,493204.96,578650.0679999999,33.97493975581807,-2.67929597823875,-12.073605770318489,0.7248149152555029,-0.8643614295747035,38.112410970977415,-9.594511617684617,-2.662076590302894,-5.894290847987918,-4.7272988482565825,-9.40888302116295,4.535197255001471,-4.091170002247343,-2.1367089859220365,1.955342723644194,-23.02442795185153,8.93662419823651,3.045953500173119,-7.027243276846887,-7.101408998711073,-14.766283238387151
19,TR020,Denizli,TUR,Turkey,397817.33,413501.34,411590.84,440605.94,413683.92,429174.76,428829.94,409695.74,394376.46,404404.26,417609.4200000001,423072.96,374103.69,436557.06000000006,394267.49,420194.35,409057.43,448929.4900000001,403707.9,389586.14,250599.29,413038.323,-3.685128510460265,0.11210025177253366,-0.3504476266237284,6.674348472018184,0.15630438243862638,3.90676508726771,3.8232813084513775,-0.8092670374317746,-4.518191644894887,-2.0903781850770216,1.1067004550084147,2.4294687541620794,-9.426397220773138,5.694081079251352,-4.544574184705855,1.7325334240232237,-0.9638071767979703,8.689548887210675,-2.25897271038454,-5.677967804454784,-39.32783568850583
