ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
36,TR037,Kastamonu,TUR,Turkey,193648.21000000002,150330.80999999997,189993.32,207231.59000000003,153930.53000000003,205523.91999999998,74630.71000000002,122503.35,131644.86000000002,148120.00000000003,160729.06,171864.85,113916.48999999999,110274.61000000002,119392.12,121714.97999999997,16880.66,156824.84000000003,173106.30000000002,149731.79,166743.08000000002
37,TR038,Kayseri,TUR,Turkey,862052.87,1123919.65,1016664.0600000002,1175216.11,1201476.56,962638.51,853083.8600000001,1223460.91,872057.3999999999,927175.5999999999,1001944.53,1331708.4200000002,1039066.5700000001,693180.9,806322.27,1082845.62,776203.8999999999,844649.2000000001,929992.38,976759.53,1030803.16
38,TR039,Kirklareli,TUR,Turkey,264772.52,157417.4,314203.18000000005,273044.04999999993,91819.45,362323.99000000005,312234.91000000003,163479.51000000004,137320.79,377156.86000000004,233235.62000000002,99377.44,198955.78,208368.84,357435.62,121217.12,215899.0,112307.09000000001,74831.61,159628.12000000002,100231.79000000001
39,TR040,Kirsehir,TUR,Turkey,684564.9500000001,618834.6200000002,656280.9400000002,832843.0900000002,650407.0499999999,734587.26,429132.2200000001,695033.7700000001,491768.1500000001,492761.86,393908.9,569049.8900000001,434182.94999999995,505029.72000000003,458839.4099999999,549406.2600000001,222871.50999999998,441321.05000000005,481544.99,442269.4799999999,525980.24
40,TR041,Kocaeli,TUR,Turkey,52673.780000000006,43227.159999999996,31461.91,61155.619999999995,29900.180000000004,65604.05000000002,26959.76,15974.96,48603.09,43340.41,29891.439999999995,28125.190000000002,49265.840000000004,21923.489999999998,26720.15,29051.76,17741.27,24714.16,22102.28,37662.64,34713.18
41,TR042,Konya,TUR,Turkey,3141806.8399999994,2634220.3400000003,2876711.3699999996,3591871.44,3071117.64,3307888.8099999996,2601194.3400000003,2717792.6200000006,2419348.76,2548430.2600000002,2388367.5500000003,3119909.97,2424476.82,2434221.1999999997,2431810.95,2527345.8899999997,2189362.3,2409431.33,2601695.35,2528847.82,2464793.33
42,TR043,Kutahya,TUR,Turkey,320911.31999999995,314799.30000000005,363620.11000000004,455230.37999999995,401345.43,476754.92000000004,353508.14,375519.05,333994.93000000005,253784.74,300359.79000000004,316219.92,296752.2,377397.41000000003,295491.48,286024.7700000001,270253.20999999996,284983.68000000005,379433.35,330742.51999999996,342421.9
43,TR044,Malatya,TUR,Turkey,268420.26000000007,301021.81999999995,294962.54,225606.43000000002,291935.50999999995,331548.08999999997,314813.07999999996,310672.50999999995,302692.75,325474.44000000006,256242.89000000004,359387.82,364356.82,327459.66,271839.73,319454.64999999997,199633.45000000004,312441.44,251784.24000000002,278916.6,310505.25000000006
44,TR045,Manisa,TUR,Turkey,301430.54000000004,431935.45000000007,392868.61999999994,520803.77999999997,307621.0,409791.93,346508.53,371209.97000000003,312932.0899999999,386280.52999999997,360887.51999999996,280603.25000000006,308403.73,493882.4,431832.07,234650.9,334296.67000000004,459752.6399999999,445126.26,297220.48000000004,345068.1500000001
45,TR046,Kahramanmaras,TUR,Turkey,407305.51999999996,495068.70999999996,488353.17,450942.88999999996,540624.01,513772.50000000006,429136.57,437150.45,414803.41000000003,486736.41,202644.08999999997,508930.98,464126.12999999995,429412.26,417224.37,422079.58,362084.51999999996,314903.4,356031.67,435630.49,368668.79999999993
46,TR047,Mardin,TUR,Turkey,441271.74,514498.1800000001,261529.27,361278.25,604240.2700000001,257801.87,469789.30000000005,254098.35,374422.38,632572.7700000001,256745.44,274433.96,493051.0,249226.35000000003,359744.23000000004,560701.24,384575.5300000001,238755.11000000002,275857.73,580953.4999999999,578799.3
