ID,adm2_src,adm2_name,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
804,TR060008,Sulusaray,TR060,Tokat,TUR,Turkey,14562.93,16759.81,11006.470000000001,18746.6,12605.189999999999,19108.71,6058.41,5590.05,10039.060000000001,2677.31,13631.73,8487.2,7099.890000000001,5968.14,10944.43,6716.59,3283.3,4405.05,4151.55,7315.25,7440.870000000001
805,TR060009,Tokat,TR060,Tokat,TUR,Turkey,40720.78,39715.909999999996,36498.02,39568.55,28221.95,34100.36,23185.54,24341.23,34615.55,32630.34,24755.05,35477.44,29862.519999999997,25794.120000000003,27852.13,39474.18,35209.01,25593.34,32152.0,39558.31,16912.739999999998
806,TR060010,Turhal,TR060,Tokat,TUR,Turkey,22313.960000000003,26319.42,12408.81,14002.650000000001,15840.36,25613.120000000003,20599.559999999998,22338.440000000002,23621.739999999998,25457.100000000002,17261.6,21192.41,24752.910000000003,21119.55,27030.08,19254.93,19340.94,16320.769999999999,15926.36,30843.129999999997,21847.29
807,TR060011,Yesilyurt,TR060,Tokat,TUR,Turkey,9393.16,7135.22,5429.1900000000005,5143.67,3511.57,5765.7,2821.9300000000003,1239.46,941.6700000000001,3040.0299999999997,2671.8999999999996,7219.46,4211.31,4999.42,2272.09,1603.02,4109.8099999999995,4750.53,5847.08,7163.82,5355.53
808,TR060012,Zile,TR060,Tokat,TUR,Turkey,88708.29999999999,80076.83,14388.140000000001,84948.78,71990.6,85365.35,17805.100000000002,25428.870000000003,63280.38,24407.18,9813.29,50287.15000000001,84903.84000000001,39197.29,48820.3,71300.73,30424.800000000003,26291.760000000002,13398.27,83657.55,42552.55
809,TR061001,Akcaabat,TR061,Trabzon,TUR,Turkey,139.70999999999998,148.49,88.43,162.67000000000002,93.42,157.04,117.00999999999999,93.02,154.72,94.19,164.43,111.0,157.81,140.62,121.44,143.4,86.57000000000001,115.83000000000001,113.88,109.12,0.01
810,TR061002,Arakli,TR061,Trabzon,TUR,Turkey,23.310000000000002,48.92,27.240000000000002,27.43,27.33,31.52,27.78,35.480000000000004,21.05,31.52,16.73,26.99,0.0,0.0,15.25,8.8,0.0,30.53,28.73,0.0,0.0
811,TR061003,Arsin,TR061,Trabzon,TUR,Turkey,0.0,0.0,1.27,0.0,2.8000000000000003,2.61,2.29,0.0,0.0,0.0,3.99,6.25,3.4,2.31,1.01,1.16,0.0,3.58,1.87,0.0,0.0
812,TR061004,Besikduzu,TR061,Trabzon,TUR,Turkey,0.0,0.0,0.0,5.17,5.38,3.0700000000000003,3.25,0.0,0.0,0.0,2.29,4.63,1.93,2.62,6.300000000000001,6.760000000000001,2.7199999999999998,4.08,6.28,4.529999999999999,0.0
813,TR061005,Carsibasi,TR061,Trabzon,TUR,Turkey,0.0,0.0,0.0,2.43,10.01,9.47,6.1000000000000005,0.0,10.93,10.35,5.4,0.0,0.0,11.45,3.34,10.02,0.0,0.0,9.08,8.950000000000001,0.0
