ID,adm2_src,adm2_name,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
520,TR038003,Develi,TR038,Kayseri,TUR,Turkey,432.3780017671131,409.9390072777157,438.073199172247,382.75381963820683,454.43416108630953,347.26208496093744,537.0960237048921,554.1877801804316,479.9730064755394,495.52863420758933,365.56800130208336,394.57974214099704,430.32512497674855,423.1967878069196,346.97149047851553,548.6030447823662,437.7560988653273,359.5929001581101,420.8310570126488,392.75965634300593,353.0695643833705
521,TR038004,Felahiye,TR038,Kayseri,TUR,Turkey,370.55427042643225,347.9900410970052,398.6278228759767,349.50126546223953,394.75639648437505,335.41780141194664,491.4550567626952,538.3373703002931,416.5843236287435,454.7787806193034,336.2642298380534,400.4554194132487,423.72277272542317,460.89531656901045,345.5420557657877,491.8190668741862,404.0740921020508,373.2208005269369,404.605679321289,414.66660257975263,375.76706390380855
522,TR038005,Hacilar,TR038,Kayseri,TUR,Turkey,430.12976315147006,413.1034031918174,456.00794741981906,418.0949293437757,461.0847786351254,378.016621639854,544.8454364977384,601.7293897929944,475.56592118112667,514.7926936902498,379.1712224859941,418.9797740735506,472.26150111148235,455.68068815532484,363.58730396471526,545.0502206902755,436.5348815917969,396.833222238641,435.88430223966895,413.6073536119963,384.09108814440276
523,TR038006,Incesu,TR038,Kayseri,TUR,Turkey,393.8750786414513,373.3685255784255,419.976808988131,375.81245422363287,422.7083593515249,344.51348466139575,504.1129584679237,566.3348558866061,431.9202376145583,482.0198179391714,361.20788574218756,400.88552797757666,437.9201020460863,441.8489104050856,346.62264779897833,529.4093897892878,408.71802814190204,381.94637650709893,412.8702762310321,391.15101564847504,353.9699912438026
524,TR038007,Kocasinan,TR038,Kayseri,TUR,Turkey,345.2599982367621,327.2790584988065,375.55888739691835,338.82864617241756,379.3567053900825,311.71619262695316,448.91176096598304,508.8064744737412,393.3822116427951,427.73820156521276,312.8811126708984,369.1896952311198,398.9072747124566,410.5275682237413,315.2640007866753,460.62243787977434,376.5997999403212,341.1926408555772,368.13796861436634,366.88115370008677,346.59582621256504
525,TR038008,Melikgazi,TR038,Kayseri,TUR,Turkey,377.0991543040556,355.07147486069624,400.94933842677693,371.54562736960014,403.3791234633502,335.00001436121323,476.7098197189032,533.4999859379787,424.5013062720205,455.6785173603133,332.65033288095515,379.5999863568475,426.90732170553775,412.4284700879864,332.683702955059,500.59090707816324,402.1621033911611,354.9220353668812,391.38312306123623,382.2239287133311,362.6061562930836
526,TR038009,Ozvatan,TR038,Kayseri,TUR,Turkey,398.7000310988654,373.5724229358492,427.35060700916114,368.5362523396809,410.67561921619233,365.16777474539623,527.0406029110864,576.8484947567895,438.98244803292414,488.9089849562872,354.09067499069937,420.1377367292131,442.9679776146298,482.1823461623419,377.03045581635973,520.9379494076684,430.40969267345616,401.32004438127785,440.28901599702385,450.23195648193365,398.08578927176336
527,TR038010,Pinarbasi,TR038,Kayseri,TUR,Turkey,484.7942131890191,445.7548397488064,480.54779663085935,424.9047485351562,464.52314588758685,406.46517605251734,567.0072574191624,607.7548661973741,479.7795321994358,526.3408298068575,396.9136430528428,410.11846313476565,461.1084730360243,463.79117567274307,363.3197201199002,581.4431301540799,486.6516689724393,417.6761681450737,452.87392035590284,462.6697482638889,441.81955837673615
528,TR038011,Sarioglan,TR038,Kayseri,TUR,Turkey,394.5532852808634,364.55457401275635,421.6214536031087,368.73817125956214,407.2598031361898,362.01380030314135,503.8600660959879,551.189494450887,415.0011927286784,476.3982324600219,341.23208777109784,413.35819753011066,425.48319498697913,448.78329149882,374.78549702962243,504.83331743876136,426.4984041849773,383.7194531758626,424.7300847371419,436.1286849975586,397.4879531860352
529,TR038012,Sariz,TR038,Kayseri,TUR,Turkey,505.7906074523927,483.1496671040853,491.4415851169162,431.4866019354928,485.05617904663086,391.08361604478625,581.0115119086371,589.7853351169163,484.83030700683594,538.2224655151367,404.1806407504612,414.98404396904834,456.17370139227984,455.5620998806424,352.6765424940321,619.7428148057726,486.37370808919275,404.70620303683813,442.3619605170356,442.06032477484814,404.47295930650495
530,TR038013,Talas,TR038,Kayseri,TUR,Turkey,383.6674315929413,360.4739155769348,405.9182024002075,380.9878535270691,410.0711030960083,334.291916847229,480.85612416267395,523.2558612823486,433.05495262145996,453.29299879074097,338.41911935806274,371.25465297698975,432.75249576568604,408.27725100517273,326.9498519897461,511.90366411209106,414.75698709487915,357.9617486000061,390.7636480331421,379.0498366355896,368.9853467941284
531,TR038014,Tomarza,TR038,Kayseri,TUR,Turkey,462.63601206584144,428.36053797710383,463.87451613093,416.5579348644578,485.02793498211594,367.45394125329443,572.4369017819324,581.070755924087,503.6900336943477,530.510644751859,391.00734260283315,427.7922186794052,468.9112754729858,455.62187617658134,359.02741949242284,607.8284309111446,492.5927337278803,389.0794714502541,453.78556805346386,426.56159182628954,403.4104702501412
532,TR038015,Yahyali,TR038,Kayseri,TUR,Turkey,604.563423756803,583.1318681695487,593.4259924727879,517.5668300671524,632.2525326160903,474.85029104854283,745.3442163360253,751.8582996839888,673.5397962934516,696.103165872981,480.07849395409056,501.54350640800567,540.0565494151598,529.3368214810831,459.078733979986,713.3478139813028,587.8234726123596,465.99623845132544,555.2584242231391,513.8518916783709,419.7311874561096
